,Date,site_no,LAT_GAGE,LNG_GAGE,LstAvgStrf,Dryest Day
48584,1980-09-29,11180960,37.717707,-122.054407,0.002682926829268293,272
48931,1980-09-10,11181008,37.679931,-122.080519,0.2859999999999999,253
49316,1980-09-29,11182500,37.772983,-121.994682,0.05292682926829267,272
49752,1980-12-08,11186000,35.945226,-118.47758600000002,77.04615384615386,342
50037,1980-09-18,11189500,35.73745200000001,-118.173689,16.714358974358976,261
50502,1980-12-26,11192500,35.520789,-118.677033,133.35789473684213,360
50755,1980-09-04,11200800,35.941617,-118.82287,2.6012500000000003,247
51175,1980-10-28,11202000,36.174669,-118.695647,6.898461538461538,301
51527,1980-10-14,11208000,36.52189,-118.799265,3.1421052631578945,287
51650,1980-02-14,11214600,37.076333,-118.968723,10.52894736842105,44
52200,1980-08-16,11216200,36.902724,-119.050946,6.929705882352941,228
52689,1980-12-17,11216500,36.90328,-119.121505,16.725641025641025,351
52987,1980-10-10,11218400,36.879669,-119.128727,47.256410256410255,283
53332,1980-09-19,11224500,36.214677,-120.470712,0.06878048780487805,262
53784,1980-12-14,11230215,37.309664,-118.962061,17.86842105263158,348
53787,1980-12-17,11230215,37.309664,-118.962061,17.86842105263158,351
54098,1980-10-23,11230500,37.339386,-118.973451,15.85128205128205,296
54320,1980-06-01,11231500,37.361331,-118.992063,65.1025641025641,152
54593,1980-02-29,11231600,37.359942,-118.998452,7.655555555555555,59
55225,1980-11-21,11234760,37.316611,-119.329573,14.805128205128204,325
55525,1980-09-16,11237500,37.198557,-119.213733,0.66225,259
55872,1980-08-28,11238600,37.207724,-119.330127,3.4515151515151508,240
56318,1980-11-16,11242000,37.144392,-119.454577,25.215384615384615,320
56712,1980-12-14,11244000,37.288834,-119.530139,2.8687179487179484,348
56978,1980-09-05,11246500,37.150781,-119.460411,3.4987179487179483,248
57451,1980-12-21,11251000,36.984394,-119.724312,171.11499999999998,355
57726,1980-09-21,11253310,36.402174,-120.433492,0.04975609756097561,264
58104,1980-10-03,11264500,37.731593,-119.558774,30.397317073170736,276
58460,1980-09-23,11266500,37.71687100000001,-119.666279,48.36341463414634,266
58874,1980-11-10,11269700,37.58354600000001,-120.275744,157.94444444444446,314
59246,1980-11-16,11270900,37.521603000000006,-120.332411,301.2307692307692,320
59519,1980-08-15,11274000,37.350493,-120.97715,546.3675000000001,227
59865,1980-07-26,11274500,37.315492,-121.125208,0.0,207
59866,1980-07-27,11274500,37.315492,-121.125208,0.0,208
59867,1980-07-28,11274500,37.315492,-121.125208,0.0,209
59868,1980-07-29,11274500,37.315492,-121.125208,0.0,210
59869,1980-07-30,11274500,37.315492,-121.125208,0.0,211
59870,1980-07-31,11274500,37.315492,-121.125208,0.0,212
59871,1980-08-01,11274500,37.315492,-121.125208,0.0,213
59872,1980-08-02,11274500,37.315492,-121.125208,0.0,214
59873,1980-08-03,11274500,37.315492,-121.125208,0.0,215
59874,1980-08-04,11274500,37.315492,-121.125208,0.0,216
59875,1980-08-05,11274500,37.315492,-121.125208,0.0,217
59876,1980-08-06,11274500,37.315492,-121.125208,0.0,218
59877,1980-08-07,11274500,37.315492,-121.125208,0.0,219
59878,1980-08-08,11274500,37.315492,-121.125208,0.0,220
59879,1980-08-09,11274500,37.315492,-121.125208,0.0,221
59880,1980-08-10,11274500,37.315492,-121.125208,0.0,222
59881,1980-08-11,11274500,37.315492,-121.125208,0.0,223
59882,1980-08-12,11274500,37.315492,-121.125208,0.0,224
59883,1980-08-13,11274500,37.315492,-121.125208,0.0,225
59884,1980-08-14,11274500,37.315492,-121.125208,0.0,226
59885,1980-08-15,11274500,37.315492,-121.125208,0.0,227
59886,1980-08-16,11274500,37.315492,-121.125208,0.0,228
59887,1980-08-17,11274500,37.315492,-121.125208,0.0,229
59888,1980-08-18,11274500,37.315492,-121.125208,0.0,230
59889,1980-08-19,11274500,37.315492,-121.125208,0.0,231
59890,1980-08-20,11274500,37.315492,-121.125208,0.0,232
59891,1980-08-21,11274500,37.315492,-121.125208,0.0,233
59892,1980-08-22,11274500,37.315492,-121.125208,0.0,234
59893,1980-08-23,11274500,37.315492,-121.125208,0.0,235
59894,1980-08-24,11274500,37.315492,-121.125208,0.0,236
59895,1980-08-25,11274500,37.315492,-121.125208,0.0,237
59896,1980-08-26,11274500,37.315492,-121.125208,0.0,238
59897,1980-08-27,11274500,37.315492,-121.125208,0.0,239
