,Date,site_no,LAT_GAGE,LNG_GAGE,LstAvgStrf
68342,09 23,11315000,38.519078,-120.212693,0.258
68698,09 13,11316800,38.403246,-120.446868,2.420000000000001
69062,09 11,11317000,38.389634,-120.526593,8.094871794871795
69431,09 14,11318500,38.368246,-120.545482,6.241025641025642
69815,10 02,11319500,38.312693,-120.720211,447.97435897435895
70227,11 17,11323500,38.220473,-121.039665,389.4871794871795
70522,09 07,11325500,38.158529,-121.303559,145.9189189189189
70896,09 15,11335000,38.500186,-121.045221,17.882750000000005
71260,09 13,11342000,40.939594,-122.417235,223.2
71726,12 22,11345500,41.230729,-120.437173,15.630249999999998
71941,07 24,11348500,41.406001,-120.927746,25.745749999999997
72346,09 01,11355010,40.983218,-121.511927,1159.825
72750,10 09,11362500,40.973492,-121.779435,207.05128205128204
73146,11 08,11363000,41.019324,-121.911107,201.97435897435898
73561,12 27,11363930,41.039324,-121.985276,3.99921052631579
73844,10 05,11365000,40.843211,-122.017221,2645.230769230769
74226,10 21,11367500,41.188213,-122.065557,752.0769230769231
74391,04 03,11367760,41.12516,-122.06861,102.28571428571429
74872,07 27,11367800,41.110712,-122.096113,211.12820512820514
75270,08 28,11368000,40.958208,-122.219728,286.8157894736842
75707,11 07,11370500,40.600984,-122.444455,5525.25
76001,08 27,11372000,40.513206,-122.52418,84.53
76377,09 06,11374000,40.505152,-122.233335,32.699
76733,08 27,11376000,40.387098,-122.23861200000002,63.964999999999996
77110,09 07,11376025,40.53738,-121.732488,6.514545454545454
77476,09 07,11376550,40.39821,-122.146387,241.275
77903,11 07,11377100,40.288488,-122.186664,6410.5
78208,09 07,11379500,40.024598,-122.509724,1.9720000000000006
78600,10 03,11381500,40.054602,-122.024154,105.36585365853661
78940,09 07,11383500,40.014047,-121.948318,94.81000000000002
79349,10 20,11389500,39.214057,-122.000251,5299.0
79694,09 29,11390000,39.72599500000001,-121.708864,99.33170731707318
80084,10 23,11390500,39.009895,-121.82469,5232.75
80242,03 29,11395030,39.723781,-121.022178,43.80512820512821
80835,11 11,11395200,39.64739,-121.118847,6.073589743589743
81209,11 19,11396000,39.573501,-121.141625,4.737692307692308
81566,11 10,11396200,39.551277,-121.209405,7.3487179487179475
81677,02 29,11399500,40.168221,-121.093016,37.4
82249,09 22,11400500,40.187108,-121.188019,44.845
82654,10 31,11401112,40.071276,-121.164684,65.24871794871794
82947,08 19,11402000,40.002947,-120.954399,24.042750000000005
83397,11 11,11403200,39.980163,-121.27691000000002,176.72727272727272
83742,10 21,11403800,39.905441,-121.345244,1162.1842105263158
83873,02 29,11404300,39.891275,-121.294131,4.3225
84472,10 19,11404330,39.852385,-121.392467,176.4848484848485
84831,10 12,11404500,39.794329,-121.451635,93.38461538461539
85174,09 19,11406999,39.520164,-121.547748,529.5135135135135
85540,09 19,11407000,39.521553,-121.547748,627.725
85895,09 08,11408880,39.41156,-120.998007,29.989743589743583
86269,09 16,11409400,39.439336,-121.059121,4.327250000000001
86642,09 23,11413000,39.524894,-120.938007,143.40975609756094
87015,09 30,11413300,39.614336,-121.052178,9.285
87461,12 19,11414100,39.37990300000001,-120.499374,29.96410256410256
87701,08 15,11414250,39.318512,-120.65771200000002,7.292564102564102
88076,08 24,11416500,39.439622,-120.661882,4.517179487179486
88457,09 08,11417500,39.292115,-121.104675,42.83589743589744
88839,09 24,11418000,39.235171,-121.274126,978.3846153846154
89166,08 16,11418500,39.224338,-121.26857,3.6370000000000005
89604,10 27,11421000,39.175725,-121.524965,742.85
89988,11 14,11421770,39.254344,-120.774937,6.353846153846154
90354,11 14,11421790,39.213509,-120.845217,6.533333333333333
90702,10 27,11422500,39.131841,-120.959388,93.74358974358974
91040,09 29,11424000,39.000173,-121.406902,14.278048780487804
91389,09 12,11427000,38.93600900000001,-121.023833,49.365
91740,08 28,11427500,39.109627,-120.481313,9.092307692307692
92121,09 12,11427700,39.135738,-120.478535,0.8948717948717948
92487,09 12,11427750,39.13296,-120.48381299999998,0.9023076923076925
92848,09 07,11427760,39.025181,-120.595481,17.353846153846153
93256,10 19,11427770,39.026292,-120.60353700000002,19.243333333333332
93681,12 17,11428800,39.056572,-120.407976,13.212820512820512
93926,08 18,11429500,39.005462,-120.315471,9.615384615384615
94376,11 10,11430000,38.954628,-120.401586,7.015789473684211
94708,10 07,11433300,39.006289,-120.762152,241.35897435897436
95085,10 18,11435100,38.815741,-120.117131,8.517948717948716
95381,08 09,11436000,38.671298,-120.12268799999998,5.4456410256410255
95774,09 05,11439500,38.763518,-120.328528,45.8051282051282
96249,12 23,11441500,38.818795,-120.365196,8.602564102564102
96577,11 15,11441900,38.823793,-120.539369,11.274358974358973
96683,02 29,11443500,38.772958,-120.701598,33.1
97305,11 11,11444500,38.771013,-120.816324,488.20512820512823
97669,11 09,11446500,38.63546,-121.227726,1784.05
97971,09 06,11449500,38.9274,-122.843605,2.5490000000000004
98411,11 19,11451000,38.924065,-122.565815,4.32325
98704,09 07,11451100,39.165446,-122.619986,1.1149999999999998
99124,10 31,11452500,38.725182,-121.807187,11.2075
99530,12 10,11454000,38.515185,-122.081916,85.5275
